dataset,optimizer,epoch,train_loss,train_acc,test_loss,test_acc,epoch_time,elapsed_time,peak_memory_mb,lr
cifar10,sgd,1,2.3094799518585205,0.0,2.2947936058044434,0.0,0.024077892303466797,0.024078845977783203,0.0,0.05
cifar10,adamw,1,2.3094799518585205,0.0,2.2944045066833496,0.0,0.020910263061523438,0.020910978317260742,0.0,0.001
cifar10,muon_adamw,1,2.3094799518585205,0.0,2.299161195755005,0.0,0.023054838180541992,0.0230557918548584,0.0,"muon=0.01, adamw=0.001"
cifar100,sgd,1,4.586312294006348,0.0,4.596487522125244,12.5,0.019624948501586914,0.01962590217590332,0.0,0.05
cifar100,adamw,1,4.586312294006348,0.0,4.59618616104126,12.5,0.020639896392822266,0.020641088485717773,0.0,0.001
cifar100,muon_adamw,1,4.586312294006348,0.0,4.595444202423096,12.5,0.023604869842529297,0.023606061935424805,0.0,"muon=0.01, adamw=0.001"
